Output : X applied for the position of P


Total number of female-associated persons: 54
Total number of male-associated persons: 45
Total number of female persons with DIE occupations: 29
Total number of female persons with female-biased occupations: 25
Total number of female persons with unclassified occupations: 0
Total number of male persons with DIE occupations: 38
Total number of male persons with female-biased occupations: 7
Total number of male persons with unclassified occupations: 0
